"topic","term","beta"
4,"meet",0.00890430077948781
5,"meet",0.000758894579452012
6,"meet",7.39837179435794e-05
7,"meet",2.83515942337993e-08
8,"meet",7.25170419771525e-05
9,"meet",5.96562622055506e-05
10,"meet",2.96100808100401e-08
11,"meet",0.000746165270711676
12,"meet",4.31099466582634e-06
13,"meet",4.01281596010571e-10
14,"meet",0.00974388270214389
15,"meet",0.0112193588956799
16,"meet",0.00482749531209557
17,"meet",0.00631178640324566
18,"meet",0.000672503629355395
19,"meet",0.00536358829689863
20,"meet",4.98308730811469e-06
21,"meet",0.000404300199477295
22,"meet",0.0121114426886094
23,"meet",0.000140309162996652
24,"meet",0.00132872018209567
25,"meet",0.000589342222892895
26,"meet",0.00264574590316753
27,"meet",0.000192158202156919
28,"meet",0.000996512892363586
29,"meet",0.00256239641788019
30,"meet",5.72339285002914e-07
1,"monetari",4.85926426627756e-10
2,"monetari",3.28704057041149e-19
3,"monetari",2.58804294800703e-23
4,"monetari",3.17840931528707e-10
5,"monetari",1.44422757243006e-16
6,"monetari",2.71964691897708e-13
7,"monetari",4.60903730652717e-10
8,"monetari",2.22093619705348e-10
9,"monetari",2.91218458486165e-34
10,"monetari",5.90270702124904e-19
11,"monetari",2.31744064123916e-16
12,"monetari",1.16238008352832e-31
13,"monetari",3.9080430552625e-18
14,"monetari",1.54984717410127e-06
15,"monetari",0.013796943098254
16,"monetari",0.00114713455320099
17,"monetari",8.5279831150462e-17
18,"monetari",0.00561411846801806
19,"monetari",0.00551771859382216
20,"monetari",1.87407729516138e-12
21,"monetari",6.65234547313643e-19
22,"monetari",0.0116177858169145
23,"monetari",1.6994862850741e-07
24,"monetari",5.26085039222867e-24
25,"monetari",4.37850739061741e-07
26,"monetari",5.77200659807916e-08
27,"monetari",0.00410432967321749
28,"monetari",4.79599650631877e-21
29,"monetari",0.00488388910091484
30,"monetari",2.38980021819574e-13
1,"money",0.024313375879333
2,"money",8.27659814689494e-06
3,"money",1.20179730918536e-05
4,"money",1.73667109327546e-14
5,"money",9.97968268045177e-23
6,"money",6.99185665154224e-06
7,"money",0.00209630651268388
8,"money",4.25266669764199e-06
9,"money",1.94369204937071e-05
10,"money",0.00104791126922288
11,"money",9.98191937653e-05
12,"money",0.000119443589849211
13,"money",0.00319844566955331
14,"money",0.00200191281976305
15,"money",2.993223607707e-09
16,"money",0.000257912276382485
17,"money",3.07113642538145e-07
18,"money",0.0102634969746633
19,"money",0.0013183607566638
20,"money",0.000671309604293017
21,"money",0.00116314988508091
22,"money",5.90886758918383e-09
23,"money",2.23816468120986e-05
24,"money",0.00494675809544525
25,"money",0.00518842681666454
26,"money",3.15628040811719e-06
27,"money",0.000391814518929746
28,"money",0.0141677278561243
29,"money",1.8546340778735e-07
30,"money",1.0343766929372e-10
1,"new",0.0020302876656589
2,"new",0.00584249526985506
3,"new",0.0110292444396291
4,"new",3.54976027077598e-14
5,"new",0.00284730343540327
6,"new",0.000989717139636751
7,"new",0.00403460501791572
8,"new",0.00119192960081804
9,"new",0.0855752039274599
10,"new",0.00432967208032448
11,"new",0.0139735269882174
12,"new",0.016870720244897
13,"new",0.00545947173735814
14,"new",0.00991361208803707
15,"new",1.84059204237593e-15
16,"new",0.00304713980338251
17,"new",0.00993513734238094
18,"new",0.00432738401505152
19,"new",0.00367108995052991
20,"new",0.0029504529181265
21,"new",0.0085438146190299
22,"new",0.00754042694756722
23,"new",0.000769953038664706
24,"new",0.00471792372385729
25,"new",0.00397377868701852
26,"new",0.00801111680342385
27,"new",0.00131720553534584
