"unique_id","meeting_id","meet_date","pub_date","quarter","wordcount","sentiment"
"FEDp_275","FEDm_9","1994-02-04","1994-03-25","1994-01-01",64,0.078125
"FEDp_276","FEDm_9","1994-02-04","1994-03-25","1994-01-01",79,0
"FEDp_277","FEDm_9","1994-02-04","1994-03-25","1994-01-01",63,0
"FEDp_278","FEDm_9","1994-02-04","1994-03-25","1994-01-01",80,0
"FEDp_279","FEDm_9","1994-02-04","1994-03-25","1994-01-01",57,0.0338983050847458
"FEDp_280","FEDm_9","1994-02-04","1994-03-25","1994-01-01",49,-0.02
"FEDp_281","FEDm_9","1994-02-04","1994-03-25","1994-01-01",39,0
"FEDp_282","FEDm_9","1994-02-04","1994-03-25","1994-01-01",44,-0.0212765957446809
"FEDp_283","FEDm_9","1994-02-04","1994-03-25","1994-01-01",66,-0.0294117647058824
"FEDp_284","FEDm_9","1994-02-04","1994-03-25","1994-01-01",129,-0.0144927536231884
"FEDp_285","FEDm_9","1994-02-04","1994-03-25","1994-01-01",141,0.0138888888888889
"FEDp_286","FEDm_9","1994-02-04","1994-03-25","1994-01-01",123,-0.062015503875969
"FEDp_287","FEDm_9","1994-02-04","1994-03-25","1994-01-01",83,0.0344827586206897
"FEDp_288","FEDm_9","1994-02-04","1994-03-25","1994-01-01",87,-0.0112359550561798
"FEDp_289","FEDm_9","1994-02-04","1994-03-25","1994-01-01",125,-0.031496062992126
"FEDp_290","FEDm_9","1994-02-04","1994-03-25","1994-01-01",72,0.0555555555555556
"FEDp_291","FEDm_9","1994-02-04","1994-03-25","1994-01-01",68,0.0555555555555556
"FEDp_292","FEDm_9","1994-02-04","1994-03-25","1994-01-01",98,0.0099009900990099
"FEDp_293","FEDm_9","1994-02-04","1994-03-25","1994-01-01",97,-0.0306122448979592
"FEDp_294","FEDm_9","1994-02-04","1994-03-25","1994-01-01",78,-0.0740740740740741
"FEDp_295","FEDm_9","1994-02-04","1994-03-25","1994-01-01",98,0.0198019801980198
"FEDp_296","FEDm_9","1994-02-04","1994-03-25","1994-01-01",150,-0.0326797385620915
"FEDp_297","FEDm_9","1994-02-04","1994-03-25","1994-01-01",96,0.0297029702970297
"FEDp_298","FEDm_9","1994-02-04","1994-03-25","1994-01-01",67,0.0588235294117647
