"unique_id","date"
"nyt_ec_news67979","1993-05-26"
"nyt_ec_news67980","1993-05-26"
"nyt_ec_news67981","1993-05-26"
"nyt_ec_news67982","1993-05-26"
"nyt_ec_news67983","1993-05-26"
"nyt_ec_news67984","1993-05-26"
"nyt_ec_news68130","1993-05-27"
"nyt_ec_news68131","1993-05-27"
"nyt_ec_news68132","1993-05-27"
"nyt_ec_news68133","1993-05-27"
"nyt_ec_news68134","1993-05-27"
"nyt_ec_news68135","1993-05-27"
"nyt_ec_news68136","1993-05-27"
"nyt_ec_news68137","1993-05-27"
"nyt_ec_news68138","1993-05-27"
"nyt_ec_news68139","1993-05-27"
"nyt_ec_news68140","1993-05-27"
"nyt_ec_news68141","1993-05-27"
"nyt_ec_news68142","1993-05-27"
"nyt_ec_news68143","1993-05-27"
"nyt_ec_news68581","1993-07-01"
"nyt_ec_news68582","1993-07-01"
"nyt_ec_news68583","1993-07-01"
"nyt_ec_news68584","1993-07-01"
"nyt_ec_news68585","1993-07-01"
"nyt_ec_news68586","1993-07-01"
"nyt_ec_news68587","1993-07-01"
"nyt_ec_news68588","1993-07-01"
"nyt_ec_news68589","1993-07-01"
"nyt_ec_news68590","1993-07-01"
"nyt_ec_news68591","1993-07-01"
"nyt_ec_news68592","1993-07-01"
"nyt_ec_news68593","1993-07-01"
"nyt_ec_news68594","1993-07-01"
"nyt_ec_news68570","1993-07-02"
"nyt_ec_news68571","1993-07-02"
"nyt_ec_news68572","1993-07-02"
"nyt_ec_news68573","1993-07-02"
"nyt_ec_news68574","1993-07-02"
"nyt_ec_news68575","1993-07-02"
"nyt_ec_news68576","1993-07-02"
"nyt_ec_news68577","1993-07-02"
"nyt_ec_news68578","1993-07-02"
"nyt_ec_news68579","1993-07-02"
"nyt_ec_news68580","1993-07-02"
"nyt_ec_news68559","1993-07-03"
"nyt_ec_news68560","1993-07-03"
"nyt_ec_news68561","1993-07-03"
"nyt_ec_news68562","1993-07-03"
"nyt_ec_news68563","1993-07-03"
"nyt_ec_news68564","1993-07-03"
"nyt_ec_news68565","1993-07-03"
"nyt_ec_news68566","1993-07-03"
"nyt_ec_news68567","1993-07-03"
"nyt_ec_news68568","1993-07-03"
"nyt_ec_news68569","1993-07-03"
"nyt_ec_news68535","1993-07-04"
"nyt_ec_news68536","1993-07-04"
"nyt_ec_news68537","1993-07-04"
"nyt_ec_news68538","1993-07-04"
"nyt_ec_news68539","1993-07-04"
"nyt_ec_news68540","1993-07-04"
"nyt_ec_news68541","1993-07-04"
"nyt_ec_news68542","1993-07-04"
"nyt_ec_news68543","1993-07-04"
"nyt_ec_news68544","1993-07-04"
"nyt_ec_news68545","1993-07-04"
"nyt_ec_news68546","1993-07-04"
"nyt_ec_news68547","1993-07-04"
"nyt_ec_news68548","1993-07-04"
